Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Actual Date of Completion (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAR26 progress (%),Sector
992,618018,Upgradation of Bilaspur-Takhatpur-Mungeli-Pandariya-Pondi Road on N.H.-130A Package IIIA Takhatpur By-pass from existing Ch. 26.542 to 32.093 [Design Ch. 18.700 to 25.900] & Mungeli By-pass from existing Ch. 45.786 to 56.275 [Design Ch. 29.600 to 51.600] and Package IIIB Pandariya By-Pass from existing Ch. 82.582 to 87.133 [Design Ch. 77.900 to 81.1000 & Pondi By-pass from existing Ch. 103.166 to 104.756 [Design Ch. 97.000 to 103.395] to two lane with paved shoulder configuration in the,(MoRTH),Chhattisgarh,03/2022,01/2024,,07/2025,-,351.19,351.19,11.47,10.0,Roads & Highways
993,618064,Up-gradation of NH-930 Sherpar to Kohka from Km.67880 to Km.114860 to 2LPS in Chhattisgarh under EPC mode,(MoRTH),Chhattisgarh,03/2020,05/2022,,05/2024,-,278.97,278.97,201.05,90.0,Roads & Highways
994,618078,Up-gradation of NH-130C Abhanpur to Paund from NH Km. 0000 to KM 40380 to two lane with paved shoulders in the State of Chhattisgarh on EPC mode.,(MoRTH),Chhattisgarh,12/2020,03/2022,,09/2023,-,193.16,193.16,56.27,85.0,Roads & Highways
995,618589,Durg-Raipur Bypass Section Package - 1 from km. 0.00 to km. 44.50 near Tendesara to near Khatti Village,(National Highways Authority of India [NHAI]),Chhattisgarh,06/2022,07/2023,,07/2025,-,1828.0,1656.73,626.17,67.0,Roads & Highways
996,618590,Durg-Raipur-Arang Package - 2 from km. 44.50 to km. 92.23 near Khatti Village to near Aurang,(National Highways Authority of India [NHAI]),Chhattisgarh,06/2022,06/2023,,05/2025,-,1958.9,1561.97,536.21,60.0,Roads & Highways
997,618639,4L of Bilaspur to Urga km 0.00 to 70.2 of NH-130A,(National Highways Authority of India [NHAI]),Chhattisgarh,04/2020,03/2022,,03/2024,-,1855.59,2523.86,828.11,94.0,Roads & Highways
998,618640,4L of Urga - Pathalgaon from Km. 70.200 to km. 157.745 of NH-130A,(National Highways Authority of India [NHAI]),Chhattisgarh,03/2022,02/2024,,08/2026,-,2261.3,2860.36,830.23,63.0,Roads & Highways
999,618673,Development of 6L of Jhanki Sargi Section Road from km 0.000 to km 42.800 of NH- 130CD Pkg-CG-1,(National Highways Authority of India [NHAI]),Chhattisgarh,11/2021,09/2022,,09/2024,-,1368.19,1129.14,621.25,98.0,Roads & Highways
1000,618674,Development of 6L Sargi Basanwahi Section from km 42.800 to km 99.500 of NH- 130CD Pkg-CG-2,(National Highways Authority of India [NHAI]),Chhattisgarh,12/2021,01/2023,,01/2025,09/2025,1470.73,1461.81,694.45,94.0,Roads & Highways
1001,618675,Development of 6L of Basanwahi Marangpuri Section from km 99.500 to km 124.661 of NH-130-CD,(National Highways Authority of India [NHAI]),Chhattisgarh,03/2022,10/2023,,10/2025,07/2026,1307.16,1303.63,446.43,60.0,Roads & Highways
1002,618849,Conversion of Partially Excavated Escape Tunnel to Uni-Directional 2L Tunnelincluding construction of cross passages and approach roads on either side of the tunnel from Km 12.732 to Km 14.568 of Kiratpur to Nerchowk Section of NH-21,(National Highways Authority of India [NHAI]),Chhattisgarh,05/2022,09/2022,,03/2024,08/2025,444.21,412.88,394.6,100.0,Roads & Highways
1003,618957,4 laning of Champa - Korba from km 0.00 to km 38.2,(National Highways Authority of India [NHAI]),Chhattisgarh,02/2021,01/2022,,01/2024,-,1002.33,1304.47,570.91,98.0,Roads & Highways
1004,619103,4/6 Laning of Raipur-Simga Pkg-I from km. 0.00 to km. 48.58,(National Highways Authority of India [NHAI]),Chhattisgarh,,04/2016,,04/2018,-,1096.52,1172.36,24.03,100.0,Roads & Highways
1005,619167,4 Laning with PS of Pathrapalli-Katghora km 53.3 to km 92.6 Pkg-II of Bilaspur Kathghora,(National Highways Authority of India [NHAI]),Chhattisgarh,12/2019,12/2020,,12/2022,07/2023,865.1,1275.26,488.21,93.0,Roads & Highways
1006,619183,Widening of Existing Road from Intermediate Lane 2-lane to 4-lane Between Km 19.994 to Km 35.180 of NH-848A Rakholi-Khadoli-Velugam Section in U.T. of Dadra and Nagar Haveli and Daman and Diu,(MoRTH),Dadra & Nagar Haveli and Daman & Diu,10/2022,02/2024,,02/2026,-,198.06,239.57,73.03,52.0,Roads & Highways
1007,618509,Development of 6L UER II [Package - I] NH-1 Near Bakoli till Karala Kanjhawala Road from km. 0.70 to km.15.00,(National Highways Authority of India [NHAI]),Delhi,07/2020,10/2021,,10/2023,02/2025,2089.94,2203.45,1797.78,99.0,Roads & Highways
1008,618578,6L Access Controlled Highway from DND Maharani Bagh - Jn. with Jaitpur - Pushta Road of NH-148NA from km. 0.00 to km. 9.00 in NCR,(National Highways Authority of India [NHAI]),Delhi,07/2020,01/2022,,07/2024,04/2026,1467.44,2510.34,1363.18,97.0,Roads & Highways
1009,619090,8L of Dwarka Expressway Pkg-II RuB near Dwarka Sector 21-DL/HR Border from 5.300 Km.to 9.500 Km. of NH-248BB,(National Highways Authority of India [NHAI]),Delhi,01/2018,10/2019,,10/2021,07/2025,2067.67,2670.22,1886.88,100.0,Roads & Highways
1010,619202,Dwarka Expressway from Km -0.600 to Km 5.300 - Pkg-I Shivmurti Chowk-RuB near Dwarka Sector 21,(National Highways Authority of India [NHAI]),Delhi,03/2018,09/2020,,09/2022,02/2024,2144.67,3929.5,1386.76,98.0,Roads & Highways
1011,617941,4-Laning from End of Zuari approaches to Start of Margao Bypass section of NH-66 from Km 536.800 to Km 543.450,(MoRTH),Goa,07/2024,02/2026,,02/2028,-,398.25,398.25,0.0,0.0,Roads & Highways
1012,617942,Construction of Six lane Elevated Corridor from Km. 508.000 to Km. 513.150 including approaches on NH-66,(MoRTH),Goa,04/2023,04/2024,,04/2026,02/2026,641.46,641.46,0.0,74.0,Roads & Highways
1013,618609,Construction of 4L Flyover from MES College Junction to Bogmalo Junction on NH- 566 from Km. 7.106 to Km. 10.460 and 4L VUP at Queeny Nagar Junction from Km. 3.330 to Km. 4.550,(National Highways Authority of India [NHAI]),Goa,01/2024,08/2024,,07/2026,-,463.08,316.28,79.19,37.0,Roads & Highways
1014,617906,Up-gradation of Dhoraji-Jamkandorna-Kalavad Section of NH-927D from Design Chainage km 0/00 to km 58/115 to Two lane with PS configuration in the State of Gujarat on EPC,(MoRTH),Gujarat,10/2022,02/2024,,01/2027,-,246.6,291.19,0.0,21.0,Roads & Highways
1015,617916,Work of 6 laning/Construction of elevated corridor from km 0/0 to 10/170 Narol Junction to Sarkhej junction including 4 lane Shastri Bridge on Sabarmati river on NH 47 in the State of Gujarat on HAM mode,(MoRTH),Gujarat,03/2024,08/2025,,02/2028,-,1295.39,1295.39,0.0,19.0,Roads & Highways
1016,617926,Construction of new 4 lane major bridge with approaches on Sabarmati River near Dharoi at Km. 82/00 to 86/00 Design length 3.300 km on NH-58 in the State of Gujarat on Hybrid Annuity Mode HAM,(MoRTH),Gujarat,03/2024,08/2025,,08/2027,11/2025,398.4,398.4,0.0,20.0,Roads & Highways
1017,617927,Widening to 2LPS between Km 0/0 to 56/0 Khokhara Gujarat Border Vijayanagar Antrasuba Mathasur road of NH 58 in the State of Gujarat,(MoRTH),Gujarat,03/2024,09/2025,,08/2026,-,699.19,699.19,0.0,10.0,Roads & Highways
1018,617928,"Widening 2 lane to 4-lane from KM 92/320 to Km 115/320 Vav Chokdi-Satlasana to to Vrundavan Chokdi, Kheralu on NH-58 in the State of Gujarat.",(MoRTH),Gujarat,03/2022,03/2024,,03/2026,-,151.13,171.27,0.0,95.0,Roads & Highways
1019,617976,Work of development and construction of elevated corridorfrom km 38/660 to km 42/690 Iscon junction to start point of approach of sanand flyover of NH-147 in the sate of Gujarat,(MoRTH),Gujarat,03/2023,06/2024,,06/2026,-,530.2,530.2,58.28,71.0,Roads & Highways
1020,617977,Development of Chiloda - Gandhinagar- Sarkhej ofNH-147 Package -II,(MoRTH),Gujarat,04/2018,11/2018,,11/2020,07/2022,211.28,234.44,0.0,99.0,Roads & Highways
1021,618022,Upgradation to two lane with paved Shulder Configuaration from Km. 0/00 to 47/000 of NH 351 Mahuva to Badhada section in the State of Gujarat,(MoRTH),Gujarat,12/2022,02/2024,,08/2025,-,173.06,219.08,22.53,60.0,Roads & Highways
1022,618107,Upgradation of Mehsana-Visnagar-vadnagar-Kheralu-Idar section from km 0/00 to 81/300 of NH 168G Mehsana to Idar in the State of GujaratTotal Length 81.300 Km on Hybrid Annuity Mode HAM,(MoRTH),Gujarat,02/2024,12/2025,,06/2028,-,1155.21,1155.21,1.52,3.0,Roads & Highways
1023,618108,Up-gradation and strengthening to 2lanePS from Km 95/500 to km 129/775 of Nh 168G Idar-Bhiloda-Samlaji in the state of Gujarat Length 34.275 km,(MoRTH),Gujarat,09/2022,12/2023,,12/2025,-,237.28,237.28,0.0,54.0,Roads & Highways
1024,618459,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-26 Ch.696890 to Ch.726390,(National Highways Authority of India [NHAI]),Gujarat,09/2020,12/2022,,08/2024,-,1555.2,1556.4,989.48,74.0,Roads & Highways
1025,618460,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-28 Ch.756052 to Ch.781282,(National Highways Authority of India [NHAI]),Gujarat,09/2020,11/2021,,11/2023,05/2025,1263.38,1266.98,864.33,99.0,Roads & Highways
1026,618461,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-30 Ch 803420 to Ch.824920 [Baletiya Village - Junction near Pratap Nagar Village],(National Highways Authority of India [NHAI]),Gujarat,11/2019,09/2021,,09/2023,06/2024,1800.73,1800.73,1090.06,99.0,Roads & Highways
1027,618462,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-31 Ch.824920 to Ch.844382 [Junction near Pratap nagar Village - Junction near Dodka Village],(National Highways Authority of India [NHAI]),Gujarat,11/2019,05/2021,,05/2023,-,1644.85,1651.14,932.22,95.0,Roads & Highways
1028,618463,Vadodara Mumbai Expressway Kim to Ankleshwar Phase IA - Pkg V,(National Highways Authority of India [NHAI]),Gujarat,02/2018,11/2019,,10/2021,04/2025,1324.84,2807.48,1246.47,91.0,Roads & Highways
1029,618464,Vadodara Mumbai Expressway Ena -Kim Phase IB - Pkg VI [Km 217.500 to Km 254.430],(National Highways Authority of India [NHAI]),Gujarat,05/2020,12/2021,,12/2023,11/2024,2271.86,4297.28,2574.28,98.0,Roads & Highways
1030,618465,Vadodara Mumbai Expressway Gandeva to Ena Phase IB - Pkg VII [Km 190.00 to Km 217.500],(National Highways Authority of India [NHAI]),Gujarat,07/2020,11/2021,,11/2023,03/2025,1710.3,3392.21,2152.43,97.0,Roads & Highways
1031,618466,Vadodara Mumbai Expressway Jujuwa - Gandeva from Km. 154.600 to Km. 190.000 Phase-I Package-VIII,(National Highways Authority of India [NHAI]),Gujarat,07/2023,08/2024,,03/2026,-,3834.24,3820.2,197.13,4.0,Roads & Highways
1032,618467,Vadodara Mumbai Expressway Karvad - Jujuwa from Km. 128.000 to Km. 154.600 Phase-I Package-IX,(National Highways Authority of India [NHAI]),Gujarat,07/2023,04/2024,,10/2025,-,2594.17,2587.04,211.72,21.0,Roads & Highways
1033,618501,Ahmedabad - Dholera Pkg I from km. 0.00 to km. 22.00 [Sardar Patel Ring Road - Sindhrej Village],(National Highways Authority of India [NHAI]),Gujarat,05/2020,01/2022,,01/2024,10/2024,1298.0,1421.05,1007.59,100.0,Roads & Highways
1034,618502,Ahmedabad - Dholera Pkg II from km. 22.00 to km. 48.52 [Sindhrej Village - Vejallka Village],(National Highways Authority of India [NHAI]),Gujarat,05/2020,01/2022,,01/2024,-,1415.34,1729.69,1002.19,99.0,Roads & Highways
1035,618503,Ahmedabad - Dholera Pkg III from km. 48.52 to km. 71.06 [Vejallka Village - Start of DSIR zone],(National Highways Authority of India [NHAI]),Gujarat,05/2020,07/2021,,07/2023,05/2024,1034.04,1155.41,947.67,100.0,Roads & Highways
1036,618504,Ahmedabad - Dholera Pkg IV from km. 71.06 to km. 109.019 [Start of DSIR zone - Adhelai Village],(National Highways Authority of India [NHAI]),Gujarat,05/2020,12/2021,,12/2023,10/2024,1181.76,1358.73,1203.89,97.0,Roads & Highways
1037,618507,"Balance work of Six Laning of Shamlaji-Motachiloda from Km. 401.200 to Km.494.410 section Design Chainage Km.447.385 to Km 540.595, Length- 93.210 Km of old NH-8 NH-48 in the state of Gujarat on single Percentage Item Rate Contract",(National Highways Authority of India [NHAI]),Gujarat,06/2024,08/2024,,06/2025,-,466.8,501.48,432.48,71.0,Roads & Highways
1038,618508,Construction of Additional Structures including Approaches in Vadodara Surat Section of NH48 between existing Km. 108.000 to Km. 250.000,(National Highways Authority of India [NHAI]),Gujarat,03/2024,01/2025,,01/2027,-,907.39,907.39,240.75,34.0,Roads & Highways
1039,618564,6L with PS of Samakhiyali to Santalpur section from km. 339.700 to Km. 430.100 of NH-27,(National Highways Authority of India [NHAI]),Gujarat,01/2023,12/2023,,12/2025,-,1553.76,34.34,27.83,50.0,Roads & Highways
1040,618614,Sanchore - Santalpur from km 67.000 - km 99.000 of NH-754K AJ-RGBS-Package-3,(National Highways Authority of India [NHAI]),Gujarat,02/2020,08/2021,,08/2023,01/2024,752.3,765.25,560.98,99.0,Roads & Highways
1041,618615,Sanchore - Santalpur from km 99.000 - km 130.073 of NH-754K AJ-RGBS-Package-4,(National Highways Authority of India [NHAI]),Gujarat,02/2020,03/2021,,03/2023,12/2024,778.15,835.55,663.36,99.0,Roads & Highways
1042,618616,4L of Dhrol bypass section of NH-151A Approx. length 5.7 Km & widening upto 4 laning of missing link of Amran section of NH-151A Approx. length 6.55 Km from existing Ch. 42000 to 48500 of ongoing Dhrol-Bhadra-Pipaliya section of NH-151A,(National Highways Authority of India [NHAI]),Gujarat,03/2024,02/2025,,02/2027,-,625.58,455.54,76.16,19.0,Roads & Highways
1043,618699,Pipli Bhavnagar-Package 1 from km 136.025 to km 169.328,(National Highways Authority of India [NHAI]),Gujarat,03/2018,02/2019,,09/2021,-,819.14,1297.38,188.7,100.0,Roads & Highways
1044,618787,"Upgradation to 4L PS from Bhimasar, Junction of NH-41 to Anjar- Bhuj upto Airport Junction from Km 0.000 to Km 65.478 of NH-341",(National Highways Authority of India [NHAI]),Gujarat,03/2022,01/2023,,06/2025,-,1373.06,1687.25,751.61,96.0,Roads & Highways
1045,618833,Kodinar - Veraval Package VI from km. 221.610 to km. 263.00 of NH-8E & km. 120.900 to km. 121.150 of NH-8D,(National Highways Authority of India [NHAI]),Gujarat,,02/2018,,07/2020,10/2024,894.01,1127.42,453.77,98.0,Roads & Highways
1046,618834,4L Kodinar - Veraval Package VI from km. 222.400 to km. 230.00 Kodinar Bypass of NH-8E NH 51 new,(National Highways Authority of India [NHAI]),Gujarat,03/2022,04/2022,,09/2023,-,162.73,192.01,162.0,100.0,Roads & Highways
1047,618835,4L of Bal Works of Talaja - Mahuva from 54.990 km. to 100.450 km. of Old NH-8E Package-II,(National Highways Authority of India [NHAI]),Gujarat,08/2020,03/2021,,09/2022,-,698.4,735.51,418.41,100.0,Roads & Highways
1048,618901,4L PS Divided Carriageway from Patan Near Rajpur to Gojariya From Km 52.000 to Km 128.940 of NH-68,(National Highways Authority of India [NHAI]),Gujarat,12/2021,03/2023,,03/2025,-,1181.34,1098.23,847.01,84.0,Roads & Highways
1049,618931,4L PS from Ch. 179.780 in Bitada/Movi Village to Ch. 208.900 in Nasarpore Village of NH-56 Pkg-V,(National Highways Authority of India [NHAI]),Gujarat,03/2023,11/2025,,11/2027,-,764.02,566.96,7.28,0.0,Roads & Highways
1050,619067,6L of Chiloda-Naroda section from Km. 540.595 to Km. 555.595 of NH-8Package-VII,(National Highways Authority of India [NHAI]),Gujarat,,05/2017,,05/2019,07/2021,356.6,463.03,39.86,100.0,Roads & Highways
1051,619087,Widening to 6L of Existing 4L Jetpur - Gondal - Rajkot Section from Km. 117.600 to Km. 185.00 on NH-27,(National Highways Authority of India [NHAI]),Gujarat,03/2022,09/2023,,09/2025,01/2027,2070.44,1390.29,807.97,60.0,Roads & Highways
1052,619137,4L of Dwarka-Khambaliya-Devariya section from km 203.500 to km 176.500 and from km 171.800 to km 125.000 of NH-151A,(National Highways Authority of India [NHAI]),Gujarat,01/2019,02/2020,,08/2022,06/2023,1024.69,1753.95,542.11,100.0,Roads & Highways
1053,619145,Four Laning of Una to Kodinar from km. 180.478 to km. 221.610 Package-V,(National Highways Authority of India [NHAI]),Gujarat,,02/2017,,08/2019,-,877.71,1126.66,119.99,100.0,Roads & Highways
1054,619146,Kagvadar - Una Package-IV,(National Highways Authority of India [NHAI]),Gujarat,,03/2017,,09/2019,-,750.53,955.78,43.02,97.0,Roads & Highways
1055,619147,4L of Bal Works of Mahuva to Kagvadar from 100.450 Km. to 140.470 Km. of NH-8E Pkg- III,(National Highways Authority of India [NHAI]),Gujarat,08/2020,03/2021,,09/2022,-,603.08,628.49,230.07,99.0,Roads & Highways
1056,619148,4L of Bhavnagar - Talaja Package-I from Km. 6.945 to Km. 54.990 of Old NH-8E,(National Highways Authority of India [NHAI]),Gujarat,,02/2017,,08/2019,-,1185.66,1343.16,53.18,100.0,Roads & Highways
1057,619197,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-27 Ch.729.700 to Ch.756.052,(National Highways Authority of India [NHAI]),Gujarat,09/2020,02/2022,,02/2024,12/2024,1185.69,1259.27,723.16,95.0,Roads & Highways
1058,618482,Delhi-Amritsar-Katra Expressway Phase-I Pkg-I from Jussur Kheri on NH-KMP Expressway to Junction with Rohtak-Panipat road NH-709 near Rukhi Paani village Km 0000 to Km 34000,(National Highways Authority of India [NHAI]),Haryana,12/2020,12/2021,,12/2023,02/2025,1866.49,2429.9,964.23,99.0,Roads & Highways
1059,618483,Delhi-Amritsar-Katra Expressway Phase-I Pkg-II from Junction with Rohtak-Panipat road NH-709 near Rukhi Paani village to Junction with Jind-Panipat road NH-352A near Gangana village Km 34000 to Km 60800,(National Highways Authority of India [NHAI]),Haryana,12/2020,01/2022,,01/2024,10/2024,1533.87,1792.53,879.35,99.0,Roads & Highways
1060,618484,Delhi-Amritsar-Katra Expressway Phase-I Pkg-III from Junction with Jind-Panipat road NH-352A near Gangana village to Junction with Jind-Karnal road NH-709A near Alewa village Km 60800 to Km 91400,(National Highways Authority of India [NHAI]),Haryana,12/2020,12/2021,,12/2023,05/2024,1606.27,1813.91,631.62,79.0,Roads & Highways
1061,618485,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IV from Junction with Jind-Karnal road NH-709A near Alewa village to Junction with Ambala-Kaithal-Hissar road NH-152 near Kharak Pandwa village Km 91400 to Km 120250,(National Highways Authority of India [NHAI]),Haryana,01/2021,12/2021,,12/2023,03/2024,1306.95,1578.66,563.2,76.0,Roads & Highways
1062,618506,"Construction of Additional Structures, Improvement of Service Road & Maintenance of Six Lane Gurgaon-Jaipur Section of NH-48 old NH-8 between km 42700 to km 107100 in the State of Haryana",(National Highways Authority of India [NHAI]),Haryana,05/2024,05/2025,,05/2027,-,401.74,240.02,66.69,38.0,Roads & Highways
1063,618580,Gohana - Sonipat PKG-2,(National Highways Authority of India [NHAI]),Haryana,01/2019,07/2020,,07/2022,-,1275.31,1957.44,501.41,97.0,Roads & Highways
1064,618788,4L Greenfield Jalbhera Shahbad section from km. 0.000 to km. 22.850 of NH-152G,(National Highways Authority of India [NHAI]),Haryana,03/2022,06/2023,,05/2025,-,927.22,1173.66,354.55,87.0,Roads & Highways
1065,618792,4L Bhiwani-Hansi road section of NH-148B,(National Highways Authority of India [NHAI]),Haryana,11/2022,12/2023,,12/2025,-,1330.23,1144.21,437.49,99.0,Roads & Highways
1066,618936,Jagadhari - Tajewala from Km -0.175 to 32.337 km of NH-344,(National Highways Authority of India [NHAI]),Haryana,03/2022,02/2023,,02/2025,03/2026,1269.5,919.43,651.45,57.0,Roads & Highways
1067,619080,4L PS of Ambala Ring Road of New NH-44,(National Highways Authority of India [NHAI]),Haryana,02/2023,10/2023,,10/2025,-,1093.35,1225.41,394.35,73.0,Roads & Highways
1068,619092,4L of Jind-Gohana road Package-1 from km. 0.00 to km. 40.601 of NH-352 A under NHO,(National Highways Authority of India [NHAI]),Haryana,01/2019,07/2020,,07/2022,-,994.22,1606.82,461.48,99.0,Roads & Highways
1069,619132,4/6L of Gurgaon - Pataudi - Rewari from km. 0.00 to km.43.87 of NH-352W,(National Highways Authority of India [NHAI]),Haryana,05/2020,11/2021,,11/2023,12/2025,1810.04,1917.5,496.01,72.0,Roads & Highways
1070,619201,Karnal ring road Lot-4/Pkg-1,(National Highways Authority of India [NHAI]),Haryana,11/2022,08/2023,,08/2025,-,1741.45,2041.54,410.51,88.0,Roads & Highways
1071,618050,Rehabilitation and Upgradation to 2-lane/Intermediate lane configuration of Ashyari- Shri Kyari Section km 50.000 to km 75.000 of NH-707 in the state of Himachal Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode.,(MoRTH),Himachal Pradesh,08/2020,09/2021,,09/2023,11/2024,345.89,359.56,146.64,98.0,Roads & Highways
1072,618215,"Improvement/construction of existing CL-5 Road to NH Intermediate lane specification with hard shoulder from Km 166.000 to 203.77 net Length 37.770 kms of NH-505 Sumdo-Kaza-Gramphoo road in the state of Himachal Pradesh on EPC mode under project Deepak, BRO",(MoRTH),Himachal Pradesh,06/2021,06/2024,,06/2027,-,274.36,194.0,0.0,20.0,Roads & Highways
1073,618216,"Improvement/construction of existing CL-5 Road to NH Intermediate lane specification with hard shoulder from Km 133.000 to 166.000 net Length 33.000 kms of NH-505 Sumdo-Kaza-Gramphoo road in the state of Himachal Pradesh on EPC mode under project Deepak, BRO",(MoRTH),Himachal Pradesh,03/2021,07/2023,,06/2026,-,230.55,203.15,15.16,23.0,Roads & Highways
1074,618217,Improvement/construction of existing Class-5 Road to NH Intermediate lane specification with hard shoulder from existing Km 76/340 to 134/940 Design chainage from Km 76/300 to 133/000 net Length 56.700 kms of NH-505 Sumdo-Kaza- Gramphoo road in the state of Himachal Pradesh Package I,(MoRTH),Himachal Pradesh,03/2021,05/2023,,05/2026,-,314.67,244.15,76.97,57.0,Roads & Highways
1075,618230,Rehabilitation and Upgradation to 2-lane configuration of Kalwahn-Mandi Section km 208.950 to 250.592 of NH-70 in the State of Himachal Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode.Package-3,(MoRTH),Himachal Pradesh,08/2020,10/2022,,04/2025,-,314.32,314.32,0.0,56.0,Roads & Highways
1076,618231,Rehabilitation and Upgradation to 2-lane configuration of Hamirpur-Karnohal Section km 141.00 to 181.00 of NH-70 in the State of Himachal Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode.Package-1,(MoRTH),Himachal Pradesh,08/2020,06/2022,,12/2024,-,371.93,371.93,192.19,85.0,Roads & Highways
1077,618232,Rehabilitation and Upgradation to 2-lane configuration of Karnohal- Kalwahn Section km 181.00 to 208.950 of NH-70 in the State of Himachal Pradesh under Green National Highways Corridor Project GNHCP with the loan assistance of World Bank on EPC mode.Package-2,(MoRTH),Himachal Pradesh,08/2020,11/2023,,05/2026,-,251.62,190.02,71.19,51.0,Roads & Highways
1078,618850,Nerchowk km 190.000 to Pandoh including Pandoh bypass km221.305,(National Highways Authority of India [NHAI]),Himachal Pradesh,03/2016,01/2018,,07/2020,07/2025,1464.12,1651.67,843.63,100.0,Roads & Highways
1079,618851,Pandoh bypass 221.305 to Takoli 242.000 of NH-21 in the state of Himachal Pradesh,(National Highways Authority of India [NHAI]),Himachal Pradesh,06/2017,03/2018,,09/2021,06/2026,3419.95,4465.94,1850.81,95.0,Roads & Highways
1080,618852,4L Sundar Nagar Bypass from Km.173.900 to Km.179.600 of NH-21,(National Highways Authority of India [NHAI]),Himachal Pradesh,02/2022,06/2022,,06/2024,-,191.11,192.11,181.41,100.0,Roads & Highways
1081,618878,Rehabilitation and Upgradation to 4L configuration & Strengthening of Sihuni to Rajol from Km 51.000 to Km 72.000 of NH-154 Package-IIA,(National Highways Authority of India [NHAI]),Himachal Pradesh,03/2022,09/2023,,09/2025,-,696.65,776.59,312.68,93.0,Roads & Highways
1082,618879,Rehabilitation and Upgradation to 2L PS configuration & Strengthening of Padhar to Bijni section from Km 180.000 to Km 202.815 of NH-154 Pkg-VA,(National Highways Authority of India [NHAI]),Himachal Pradesh,06/2022,11/2024,,11/2026,-,930.86,930.86,338.46,80.0,Roads & Highways
1083,618880,Rehabilitation and Up-gradation to 4L configuration & Strengthening of Thanpuri to Paror section from Km 85.135 to Km 100.840 of NH-154 Pkg-IIC,(National Highways Authority of India [NHAI]),Himachal Pradesh,07/2022,03/2024,,12/2025,-,815.68,666.79,195.95,47.0,Roads & Highways
1084,618881,4L PS bijni to mandi section from Km 202.815 to Km 208.000 of NH-20 New NH-154 of Pathankot-Mandi Package-VB,(National Highways Authority of India [NHAI]),Himachal Pradesh,02/2023,03/2025,,09/2027,-,1113.02,1112.39,308.94,23.0,Roads & Highways
1085,618888,Rehabilitation and Up-gradation of existing road to 2L PS from End of Hamirpur Bypass near Chilbahal to Bhangbar section from Km. 138.295 to Km.175.270 of NH- 88 Pkg-IV,(National Highways Authority of India [NHAI]),Himachal Pradesh,03/2022,04/2023,,04/2025,-,1146.19,1358.62,293.06,90.0,Roads & Highways
1086,618889,"4L of Bhangbar Near Ranital to Kangra Bypass Section of Old NH-88 New NH- 303,503 up to Intersection with NH-154 from Km 175.270 to Km 193.400 Pkg-VB",(National Highways Authority of India [NHAI]),Himachal Pradesh,03/2021,12/2022,,12/2024,-,1322.95,1829.49,739.38,97.0,Roads & Highways
1087,618890,2L PS of Hamirpur Bypass from Km 121.175 to Km.138.295 of NH-103&3,(National Highways Authority of India [NHAI]),Himachal Pradesh,08/2022,10/2023,,10/2025,-,739.39,754.82,233.24,91.0,Roads & Highways
1088,618891,4L PS from Kalar Bala Village to Nauni Chowk of NH 205 from Km 41.000 to Km 58.450,(National Highways Authority of India [NHAI]),Himachal Pradesh,01/2024,05/2025,,05/2027,-,1244.43,786.91,59.37,10.0,Roads & Highways
1089,618921,4L of Kathlighat to Shakral Village from Km 128.835 to Km 146.300 of NH- 5 Shimla Bypass - Pkg I,(National Highways Authority of India [NHAI]),Himachal Pradesh,03/2022,04/2023,,04/2026,-,1703.48,2648.8,924.82,53.0,Roads & Highways
1090,618922,4L of Shakral Village to Dhalli Section from Km 146.300 to Km 156.560 Shimla Bypass - Pkg II and Shimla connectivity from Km 0.000 to Km 0.725 of NH-5,(National Highways Authority of India [NHAI]),Himachal Pradesh,04/2022,03/2024,,03/2027,-,1956.26,2880.72,1155.67,51.0,Roads & Highways
1091,619003,Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,(National Highways Authority of India [NHAI]),Himachal Pradesh,03/2018,11/2018,,05/2021,02/2024,881.74,1519.53,566.56,90.0,Roads & Highways
1092,619153,4L of HP/Punjab Border - Mo from km. 11.00 to km. 42.00 of Old NH-20 New NH-154 Package-IA,(National Highways Authority of India [NHAI]),Himachal Pradesh,03/2021,05/2022,,05/2024,12/2025,1002.11,1363.04,491.3,54.0,Roads & Highways
1093,618038,Construction of Shopian Bypass on NH-444 taking off from existing chainage Km 36500 and re-joining at km 47588 of existing Chainage New Design Ch. From km 28000 to km 36925 as 2- lane with paved shoulder in the UT of Jammu & Kashmir on EPC mode.,(MoRTH),Jammu and Kashmir,03/2024,01/2026,,01/2028,-,224.44,224.44,0.0,0.0,Roads & Highways
